Date,Author,File,Attribution,ID
2015-06-03,Jay Arthanareeswaran,BatchCompilerTest.java,test,143
2015-05-21,Stephan Herrmann,AssignmentTest.java,test,124
2015-04-01,Stephan Herrmann,SignatureTests.java,test,984
2015-04-01,Stephan Herrmann,SignatureTests.java,test,984
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-17,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-15,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-15,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-14,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-09,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-03-11,John Glassmyer,ImportRewriteTest.java,test,640
2015-03-11,John Glassmyer,ImportRewriteTest.java,test,640
2015-03-11,John Glassmyer,ImportRewriteTest.java,test,640
2015-03-06,Markus Keller,ImportRewriteTest.java,test,640
2015-03-06,Markus Keller,ImportRewriteTest.java,test,640
2015-02-24,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-20,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-07,John Glassmyer,ImportRewriteTest.java,test,640
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-02-13,Stephan Herrmann,BatchCompilerTest.java,test,143
2015-01-28,Stephan Herrmann,ASTParser.java,production,23
2015-01-28,Stephan Herrmann,ASTParser.java,production,23
2015-01-28,Stephan Herrmann,ASTParser.java,production,23
2015-01-28,Stephan Herrmann,ASTParser.java,production,23
2015-01-28,Stephan Herrmann,ASTParser.java,production,23
2014-12-20,shankha,AnnotationTest.java,test,68
2014-12-20,shankha,AnnotationTest.java,test,68
2014-12-20,shankha,AnnotationTest.java,test,68
2015-02-04,Olivier Thomann,AnnotationTest.java,test,68
2015-02-04,Olivier Thomann,AnnotationTest.java,test,68
2014-12-22,Vladimir Piskarev,JavaElementDeltaTests.java,test,698
